Pizza Hut, 456 Jimmy Road ,26.5,199.6,Info,11-9,pizza-hut.com
Cheese Pizza, 7.00 ,Entrée,Cheese,,,
Pepperoni Pizza, 6.00 ,Entrée,Pepperoni,,,
Wings, 13.00 ,Entrée,Buffalo Wings,,,
,,,,,,
Pizza Hut, 456 Jimmy Road ,26.5,199.6,Info,11-9,pizza-hut.com
Cheese Pizza, 7.00 ,Entrée,Cheese,,,
Pepperoni Pizza, 6.00 ,Entrée,Pepperoni,,,
Wings, 13.00 ,Entrée,Buffalo Wings,,,
,,,,,,
Wing Stop,  456 Jimmy Road  ,17.5,231.67,Info,11-9,Wingstop.com
Buffalo Wings, 10.00 ,Entrée,Wings,,,
Asian Zing, 11.00 ,Entrée,Wings,,,
Garlic Parmesean, 9.00 ,Entrée,Wings,,,